,joint_str,wrkt_str,target,output
1323,Research Community Exposure,look into wall bug,Myca,-1
1324,Research cisco reach out to Kris on the cisco meeting first draft of the slides,look into wall bug,Myca,-1
1325,Research EAR clarity lab research meeting NS2.0 ASPLOS/CAL GAN-GPT standup with Mahendra Personalization Reading verint proposal KF Collab Bi/PolyEncoder Accuracy Efficiency Pathway to Open Source Grant Hitach/AVTN Knowledge Building Community Exposure Group meeting notes cisco,look into wall bug,Myca,-1
1326,Umich clear emails MPACE,look into wall bug,Myca,-1
1327,House Planning Doc clean and tidy up around the house change battery in senor send cancelling email to Proof organize garage fix dangling wire behind TV automate everything plant new aero garden buy and assemble dresser Patch the drywall holes in closet organize basement,look into wall bug,Myca,-1
1328,Green Card I-485 Final filling todo,look into wall bug,Myca,-1
1329,Green Card I-485,look into wall bug,Myca,-1
1330,Myca Myca Product Myca standup prepare for LL weekly,look into wall bug,Myca,-1
1331,Myca Myca Dev wiki set up instructions track and record where user is logging in from latency reduction of the jac implementaiton think about how to do AI improvement potential performance slowdown overtime due to redis caching?,look into wall bug,Myca,-1
1332,Myca Commands LL weekly Myca Product Myca Dev Myca Working Diary Plan out jac rewrite Myca Q1 Goals set up weekly user usage tracking Myca Jac code review,look into wall bug,Myca,1
1333,Jaseci open source update jaseci-serv actions,review certify day walker/wiki,Myca,-1
1334,Jaseci Bi-encoder think about how to use it for Myca plan how to clean up myca dataset,review certify day walker/wiki,Myca,-1
1335,Jaseci JPS,review certify day walker/wiki,Myca,-1
1336,Jaseci HLP Dev notes clean up hlp jac code work through HLP delivery flow,review certify day walker/wiki,Myca,-1
1337,Jaseci commands and resource v75 progress Jaseci Master Plan open source Bi-encoder JPS HLP set everything up as microservice connect to jaseci main pod get biencoder classifier to work well set up demo scripts Understand the spacy capabilities,review certify day walker/wiki,Myca,-1
1338,Financial ask about HOA fee breakdown retirement account portfolio figure out credit score situation figure out retirement account transfer details start doing monthly budgeting old bank account timecard go to BOA,review certify day walker/wiki,Myca,-1
1339,ME Get in shape weight workout Go to bed on time Wake up on time Breakfast,review certify day walker/wiki,Myca,-1
1340,ME Relationship facetime with parents special dinner with JaLi,review certify day walker/wiki,Myca,-1
1341,ME Health,review certify day walker/wiki,Myca,-1
1342,ME interests group find more volunteering opportunities,review certify day walker/wiki,Myca,-1
1343,ME Get in shape Relationship Health learn keyboard for 30 min interests group,review certify day walker/wiki,Myca,-1
1344,Chores bring trash cart back in laundry grocery get mails take out trash install video doorbell go pick up sunglasses,review certify day walker/wiki,Myca,-1
1345,Research EAR email https://mail.google.com/mail/u/1/#search/cacf%40umich.edu/FMfcgzGmthkHgzJRvvBxNjkPTsKcqJGd,review certify day walker/wiki,Myca,-1
1346,Research NS2.0 notes,review certify day walker/wiki,Myca,-1
1347,Research ASPLOS/CAL Jaseci Research Daily notes aws cluster access lit search,review certify day walker/wiki,Myca,-1
1348,Research GAN-GPT read GPT read Electra,review certify day walker/wiki,Myca,-1
1349,Research Personalization notes Coordinate who's writing what take a look at the jpmc proposal read more on recommendation system  user embedding approach Nag Kris on doing a pass on intro,review certify day walker/wiki,Myca,-1
1350,Research Reading MLsys seminar,review certify day walker/wiki,Myca,-1
1351,Research verint proposal Proposal,review certify day walker/wiki,Myca,-1
1352,Research KF Collab Ideas Kris avatar idea  Emotional tone Accuracy Efficiency Read wisc paper,review certify day walker/wiki,Myca,-1
1353,Research Bi/PolyEncoder,review certify day walker/wiki,Myca,-1
1354,Research Accuracy Efficiency slide deck Can we make the model analyze infrastructure part of Jaseci?,review certify day walker/wiki,Myca,-1
1355,Research Pathway to Open Source Grant notes follow up with one pager exec summary,review certify day walker/wiki,Myca,-1
1356,Research Hitach/AVTN VILD Repo Notes,review certify day walker/wiki,Myca,-1
1357,"Research Knowledge Building Serverless computing on heterogeneous computers INFless: a native serverless system for low-latency, high-throughput inference Client-optimized algorithms and acceleration for encrypted compute offloading SOL: safe on-node learning in cloud platforms IOCost: block IO control for containers in datacenters VELTAIR: towards high-performance multi-tenant deep learning services via adaptive compilation and scheduling Breaking the computation and communication abstraction barrier in distributed machine learning workloads",review certify day walker/wiki,Myca,-1
1358,Research Community Exposure,review certify day walker/wiki,Myca,-1
1359,Research cisco reach out to Kris on the cisco meeting first draft of the slides,review certify day walker/wiki,Myca,-1
1360,Research EAR clarity lab research meeting NS2.0 ASPLOS/CAL GAN-GPT standup with Mahendra Personalization Reading verint proposal KF Collab Bi/PolyEncoder Accuracy Efficiency Pathway to Open Source Grant Hitach/AVTN Knowledge Building Community Exposure Group meeting notes cisco,review certify day walker/wiki,Myca,-1
1361,Umich clear emails MPACE,review certify day walker/wiki,Myca,-1
1362,House Planning Doc clean and tidy up around the house change battery in senor send cancelling email to Proof organize garage fix dangling wire behind TV automate everything plant new aero garden buy and assemble dresser Patch the drywall holes in closet organize basement,review certify day walker/wiki,Myca,-1
1363,Green Card I-485 Final filling todo,review certify day walker/wiki,Myca,-1
1364,Green Card I-485,review certify day walker/wiki,Myca,-1
1365,Myca Myca Product Myca standup prepare for LL weekly,review certify day walker/wiki,Myca,-1
1366,Myca Myca Dev wiki set up instructions track and record where user is logging in from latency reduction of the jac implementaiton think about how to do AI improvement potential performance slowdown overtime due to redis caching?,review certify day walker/wiki,Myca,-1
1367,Myca Commands LL weekly Myca Product Myca Dev Myca Working Diary Plan out jac rewrite Myca Q1 Goals set up weekly user usage tracking Myca Jac code review look into wall bug,review certify day walker/wiki,Myca,1
1368,Jaseci open source update jaseci-serv actions,Fix myca dev server,Myca,-1
1369,Jaseci Bi-encoder think about how to use it for Myca plan how to clean up myca dataset,Fix myca dev server,Myca,-1
1370,Jaseci JPS,Fix myca dev server,Myca,-1
1371,Jaseci HLP Dev notes clean up hlp jac code work through HLP delivery flow,Fix myca dev server,Myca,-1
1372,Jaseci commands and resource v75 progress Jaseci Master Plan open source Bi-encoder JPS HLP set everything up as microservice connect to jaseci main pod get biencoder classifier to work well set up demo scripts Understand the spacy capabilities,Fix myca dev server,Myca,-1
1373,Financial ask about HOA fee breakdown retirement account portfolio figure out credit score situation figure out retirement account transfer details start doing monthly budgeting old bank account timecard go to BOA,Fix myca dev server,Myca,-1
1374,ME Get in shape weight workout Go to bed on time Wake up on time Breakfast,Fix myca dev server,Myca,-1
1375,ME Relationship facetime with parents special dinner with JaLi,Fix myca dev server,Myca,-1
1376,ME Health,Fix myca dev server,Myca,-1
1377,ME interests group find more volunteering opportunities,Fix myca dev server,Myca,-1
1378,ME Get in shape Relationship Health learn keyboard for 30 min interests group,Fix myca dev server,Myca,-1
1379,Chores bring trash cart back in laundry grocery get mails take out trash install video doorbell go pick up sunglasses,Fix myca dev server,Myca,-1
1380,Research EAR email https://mail.google.com/mail/u/1/#search/cacf%40umich.edu/FMfcgzGmthkHgzJRvvBxNjkPTsKcqJGd,Fix myca dev server,Myca,-1
1381,Research NS2.0 notes,Fix myca dev server,Myca,-1
1382,Research ASPLOS/CAL Jaseci Research Daily notes aws cluster access lit search,Fix myca dev server,Myca,-1
1383,Research GAN-GPT read GPT read Electra,Fix myca dev server,Myca,-1
1384,Research Personalization notes Coordinate who's writing what take a look at the jpmc proposal read more on recommendation system  user embedding approach Nag Kris on doing a pass on intro,Fix myca dev server,Myca,-1
1385,Research Reading MLsys seminar,Fix myca dev server,Myca,-1
1386,Research verint proposal Proposal,Fix myca dev server,Myca,-1
1387,Research KF Collab Ideas Kris avatar idea  Emotional tone Accuracy Efficiency Read wisc paper,Fix myca dev server,Myca,-1
1388,Research Bi/PolyEncoder,Fix myca dev server,Myca,-1
1389,Research Accuracy Efficiency slide deck Can we make the model analyze infrastructure part of Jaseci?,Fix myca dev server,Myca,-1
1390,Research Pathway to Open Source Grant notes follow up with one pager exec summary,Fix myca dev server,Myca,-1
1391,Research Hitach/AVTN VILD Repo Notes,Fix myca dev server,Myca,-1
1392,"Research Knowledge Building Serverless computing on heterogeneous computers INFless: a native serverless system for low-latency, high-throughput inference Client-optimized algorithms and acceleration for encrypted compute offloading SOL: safe on-node learning in cloud platforms IOCost: block IO control for containers in datacenters VELTAIR: towards high-performance multi-tenant deep learning services via adaptive compilation and scheduling Breaking the computation and communication abstraction barrier in distributed machine learning workloads",Fix myca dev server,Myca,-1
1393,Research Community Exposure,Fix myca dev server,Myca,-1
1394,Research cisco reach out to Kris on the cisco meeting first draft of the slides,Fix myca dev server,Myca,-1
1395,Research EAR clarity lab research meeting NS2.0 ASPLOS/CAL GAN-GPT standup with Mahendra Personalization Reading verint proposal KF Collab Bi/PolyEncoder Accuracy Efficiency Pathway to Open Source Grant Hitach/AVTN Knowledge Building Community Exposure Group meeting notes cisco,Fix myca dev server,Myca,-1
1396,Umich clear emails MPACE,Fix myca dev server,Myca,-1
1397,House Planning Doc clean and tidy up around the house change battery in senor send cancelling email to Proof organize garage fix dangling wire behind TV automate everything plant new aero garden buy and assemble dresser Patch the drywall holes in closet organize basement,Fix myca dev server,Myca,-1
1398,Green Card I-485 Final filling todo,Fix myca dev server,Myca,-1
1399,Green Card I-485,Fix myca dev server,Myca,-1
1400,Myca Myca Product Myca standup prepare for LL weekly,Fix myca dev server,Myca,-1
1401,Myca Myca Dev wiki set up instructions track and record where user is logging in from latency reduction of the jac implementaiton think about how to do AI improvement potential performance slowdown overtime due to redis caching?,Fix myca dev server,Myca,-1
1402,Myca Commands LL weekly Myca Product Myca Dev Myca Working Diary Plan out jac rewrite Myca Q1 Goals set up weekly user usage tracking Myca Jac code review look into wall bug review certify day walker/wiki,Fix myca dev server,Myca,1
1403,Jaseci open source update jaseci-serv actions,fix Lingjia bug,Myca,-1
1404,Jaseci Bi-encoder think about how to use it for Myca plan how to clean up myca dataset,fix Lingjia bug,Myca,-1
1405,Jaseci JPS,fix Lingjia bug,Myca,-1
1406,Jaseci HLP Dev notes clean up hlp jac code work through HLP delivery flow,fix Lingjia bug,Myca,-1
1407,Jaseci commands and resource v75 progress Jaseci Master Plan open source Bi-encoder JPS HLP set everything up as microservice connect to jaseci main pod get biencoder classifier to work well set up demo scripts Understand the spacy capabilities,fix Lingjia bug,Myca,-1
1408,Financial ask about HOA fee breakdown retirement account portfolio figure out credit score situation figure out retirement account transfer details start doing monthly budgeting old bank account timecard go to BOA,fix Lingjia bug,Myca,-1
1409,ME Get in shape weight workout Go to bed on time Wake up on time Breakfast,fix Lingjia bug,Myca,-1
1410,ME Relationship facetime with parents special dinner with JaLi,fix Lingjia bug,Myca,-1
1411,ME Health,fix Lingjia bug,Myca,-1
1412,ME interests group find more volunteering opportunities,fix Lingjia bug,Myca,-1
1413,ME Get in shape Relationship Health learn keyboard for 30 min interests group,fix Lingjia bug,Myca,-1
1414,Chores bring trash cart back in laundry grocery get mails take out trash install video doorbell go pick up sunglasses,fix Lingjia bug,Myca,-1
1415,Research EAR email https://mail.google.com/mail/u/1/#search/cacf%40umich.edu/FMfcgzGmthkHgzJRvvBxNjkPTsKcqJGd,fix Lingjia bug,Myca,-1
1416,Research NS2.0 notes,fix Lingjia bug,Myca,-1
1417,Research ASPLOS/CAL Jaseci Research Daily notes aws cluster access lit search,fix Lingjia bug,Myca,-1
1418,Research GAN-GPT read GPT read Electra,fix Lingjia bug,Myca,-1
1419,Research Personalization notes Coordinate who's writing what take a look at the jpmc proposal read more on recommendation system  user embedding approach Nag Kris on doing a pass on intro,fix Lingjia bug,Myca,-1
1420,Research Reading MLsys seminar,fix Lingjia bug,Myca,-1
1421,Research verint proposal Proposal,fix Lingjia bug,Myca,-1
1422,Research KF Collab Ideas Kris avatar idea  Emotional tone Accuracy Efficiency Read wisc paper,fix Lingjia bug,Myca,-1
1423,Research Bi/PolyEncoder,fix Lingjia bug,Myca,-1
1424,Research Accuracy Efficiency slide deck Can we make the model analyze infrastructure part of Jaseci?,fix Lingjia bug,Myca,-1
1425,Research Pathway to Open Source Grant notes follow up with one pager exec summary,fix Lingjia bug,Myca,-1
1426,Research Hitach/AVTN VILD Repo Notes,fix Lingjia bug,Myca,-1
1427,"Research Knowledge Building Serverless computing on heterogeneous computers INFless: a native serverless system for low-latency, high-throughput inference Client-optimized algorithms and acceleration for encrypted compute offloading SOL: safe on-node learning in cloud platforms IOCost: block IO control for containers in datacenters VELTAIR: towards high-performance multi-tenant deep learning services via adaptive compilation and scheduling Breaking the computation and communication abstraction barrier in distributed machine learning workloads",fix Lingjia bug,Myca,-1
1428,Research Community Exposure,fix Lingjia bug,Myca,-1
1429,Research cisco reach out to Kris on the cisco meeting first draft of the slides,fix Lingjia bug,Myca,-1
1430,Research EAR clarity lab research meeting NS2.0 ASPLOS/CAL GAN-GPT standup with Mahendra Personalization Reading verint proposal KF Collab Bi/PolyEncoder Accuracy Efficiency Pathway to Open Source Grant Hitach/AVTN Knowledge Building Community Exposure Group meeting notes cisco,fix Lingjia bug,Myca,-1
1431,Umich clear emails MPACE,fix Lingjia bug,Myca,-1
1432,House Planning Doc clean and tidy up around the house change battery in senor send cancelling email to Proof organize garage fix dangling wire behind TV automate everything plant new aero garden buy and assemble dresser Patch the drywall holes in closet organize basement,fix Lingjia bug,Myca,-1
1433,Green Card I-485 Final filling todo,fix Lingjia bug,Myca,-1
1434,Green Card I-485,fix Lingjia bug,Myca,-1
1435,Myca Myca Product Myca standup prepare for LL weekly,fix Lingjia bug,Myca,-1
1436,Myca Myca Dev wiki set up instructions track and record where user is logging in from latency reduction of the jac implementaiton think about how to do AI improvement potential performance slowdown overtime due to redis caching?,fix Lingjia bug,Myca,-1
1437,Myca Commands LL weekly Myca Product Myca Dev Myca Working Diary Plan out jac rewrite Myca Q1 Goals set up weekly user usage tracking Myca Jac code review look into wall bug review certify day walker/wiki Fix myca dev server,fix Lingjia bug,Myca,1
1438,Jaseci open source update jaseci-serv actions,UPDATE WORLD VIEW,,-1
1439,Jaseci Bi-encoder think about how to use it for Myca plan how to clean up myca dataset,UPDATE WORLD VIEW,,-1
1440,Jaseci JPS,UPDATE WORLD VIEW,,-1
1441,Jaseci HLP Dev notes clean up hlp jac code work through HLP delivery flow,UPDATE WORLD VIEW,,-1
1442,Jaseci commands and resource v75 progress Jaseci Master Plan open source Bi-encoder JPS HLP set everything up as microservice connect to jaseci main pod get biencoder classifier to work well set up demo scripts Understand the spacy capabilities,UPDATE WORLD VIEW,,-1
1443,Financial ask about HOA fee breakdown retirement account portfolio figure out credit score situation figure out retirement account transfer details start doing monthly budgeting old bank account timecard go to BOA,UPDATE WORLD VIEW,,-1
1444,ME Get in shape weight workout Go to bed on time Wake up on time Breakfast,UPDATE WORLD VIEW,,-1
1445,ME Relationship facetime with parents special dinner with JaLi,UPDATE WORLD VIEW,,-1
1446,ME Health,UPDATE WORLD VIEW,,-1
1447,ME interests group find more volunteering opportunities,UPDATE WORLD VIEW,,-1
1448,ME Get in shape Relationship Health learn keyboard for 30 min interests group,UPDATE WORLD VIEW,,-1
1449,Chores bring trash cart back in laundry grocery get mails take out trash install video doorbell go pick up sunglasses,UPDATE WORLD VIEW,,-1
1450,Research EAR email https://mail.google.com/mail/u/1/#search/cacf%40umich.edu/FMfcgzGmthkHgzJRvvBxNjkPTsKcqJGd,UPDATE WORLD VIEW,,-1
1451,Research NS2.0 notes,UPDATE WORLD VIEW,,-1
1452,Research ASPLOS/CAL Jaseci Research Daily notes aws cluster access lit search,UPDATE WORLD VIEW,,-1
1453,Research GAN-GPT read GPT read Electra,UPDATE WORLD VIEW,,-1
1454,Research Personalization notes Coordinate who's writing what take a look at the jpmc proposal read more on recommendation system  user embedding approach Nag Kris on doing a pass on intro,UPDATE WORLD VIEW,,-1
1455,Research Reading MLsys seminar,UPDATE WORLD VIEW,,-1
1456,Research verint proposal Proposal,UPDATE WORLD VIEW,,-1
1457,Research KF Collab Ideas Kris avatar idea  Emotional tone Accuracy Efficiency Read wisc paper,UPDATE WORLD VIEW,,-1
1458,Research Bi/PolyEncoder,UPDATE WORLD VIEW,,-1
1459,Research Accuracy Efficiency slide deck Can we make the model analyze infrastructure part of Jaseci?,UPDATE WORLD VIEW,,-1
1460,Research Pathway to Open Source Grant notes follow up with one pager exec summary,UPDATE WORLD VIEW,,-1
1461,Research Hitach/AVTN VILD Repo Notes,UPDATE WORLD VIEW,,-1
1462,"Research Knowledge Building Serverless computing on heterogeneous computers INFless: a native serverless system for low-latency, high-throughput inference Client-optimized algorithms and acceleration for encrypted compute offloading SOL: safe on-node learning in cloud platforms IOCost: block IO control for containers in datacenters VELTAIR: towards high-performance multi-tenant deep learning services via adaptive compilation and scheduling Breaking the computation and communication abstraction barrier in distributed machine learning workloads",UPDATE WORLD VIEW,,-1
1463,Research Community Exposure,UPDATE WORLD VIEW,,-1
1464,Research cisco reach out to Kris on the cisco meeting first draft of the slides,UPDATE WORLD VIEW,,-1
1465,Research EAR clarity lab research meeting NS2.0 ASPLOS/CAL GAN-GPT standup with Mahendra Personalization Reading verint proposal KF Collab Bi/PolyEncoder Accuracy Efficiency Pathway to Open Source Grant Hitach/AVTN Knowledge Building Community Exposure Group meeting notes cisco,UPDATE WORLD VIEW,,-1
1466,Umich clear emails MPACE,UPDATE WORLD VIEW,,-1
1467,House Planning Doc clean and tidy up around the house change battery in senor send cancelling email to Proof organize garage fix dangling wire behind TV automate everything plant new aero garden buy and assemble dresser Patch the drywall holes in closet organize basement,UPDATE WORLD VIEW,,-1
1468,Green Card I-485 Final filling todo,UPDATE WORLD VIEW,,-1
1469,Green Card I-485,UPDATE WORLD VIEW,,-1
1470,Myca Myca Product Myca standup prepare for LL weekly,UPDATE WORLD VIEW,,-1
1471,Myca Myca Dev wiki set up instructions track and record where user is logging in from latency reduction of the jac implementaiton think about how to do AI improvement potential performance slowdown overtime due to redis caching?,UPDATE WORLD VIEW,,-1
1472,Myca Commands LL weekly Myca Product Myca Dev Myca Working Diary Plan out jac rewrite Myca Q1 Goals set up weekly user usage tracking Myca Jac code review look into wall bug review certify day walker/wiki Fix myca dev server fix Lingjia bug,UPDATE WORLD VIEW,,-1
1473,Jaseci open source update jaseci-serv actions,Take a look at webhook situation,,-1
1474,Jaseci Bi-encoder think about how to use it for Myca plan how to clean up myca dataset,Take a look at webhook situation,,-1
1475,Jaseci JPS,Take a look at webhook situation,,-1
1476,Jaseci HLP Dev notes clean up hlp jac code work through HLP delivery flow,Take a look at webhook situation,,-1
1477,Jaseci commands and resource v75 progress Jaseci Master Plan open source Bi-encoder JPS HLP set everything up as microservice connect to jaseci main pod get biencoder classifier to work well set up demo scripts Understand the spacy capabilities,Take a look at webhook situation,,-1
1478,Financial ask about HOA fee breakdown retirement account portfolio figure out credit score situation figure out retirement account transfer details start doing monthly budgeting old bank account timecard go to BOA,Take a look at webhook situation,,-1
1479,ME Get in shape weight workout Go to bed on time Wake up on time Breakfast,Take a look at webhook situation,,-1
1480,ME Relationship facetime with parents special dinner with JaLi,Take a look at webhook situation,,-1
1481,ME Health,Take a look at webhook situation,,-1
1482,ME interests group find more volunteering opportunities,Take a look at webhook situation,,-1
1483,ME Get in shape Relationship Health learn keyboard for 30 min interests group,Take a look at webhook situation,,-1
1484,Chores bring trash cart back in laundry grocery get mails take out trash install video doorbell go pick up sunglasses,Take a look at webhook situation,,-1
1485,Research EAR email https://mail.google.com/mail/u/1/#search/cacf%40umich.edu/FMfcgzGmthkHgzJRvvBxNjkPTsKcqJGd,Take a look at webhook situation,,-1
1486,Research NS2.0 notes,Take a look at webhook situation,,-1
1487,Research ASPLOS/CAL Jaseci Research Daily notes aws cluster access lit search,Take a look at webhook situation,,-1
1488,Research GAN-GPT read GPT read Electra,Take a look at webhook situation,,-1
1489,Research Personalization notes Coordinate who's writing what take a look at the jpmc proposal read more on recommendation system  user embedding approach Nag Kris on doing a pass on intro,Take a look at webhook situation,,-1
1490,Research Reading MLsys seminar,Take a look at webhook situation,,-1
1491,Research verint proposal Proposal,Take a look at webhook situation,,-1
1492,Research KF Collab Ideas Kris avatar idea  Emotional tone Accuracy Efficiency Read wisc paper,Take a look at webhook situation,,-1
1493,Research Bi/PolyEncoder,Take a look at webhook situation,,-1
1494,Research Accuracy Efficiency slide deck Can we make the model analyze infrastructure part of Jaseci?,Take a look at webhook situation,,-1
1495,Research Pathway to Open Source Grant notes follow up with one pager exec summary,Take a look at webhook situation,,-1
1496,Research Hitach/AVTN VILD Repo Notes,Take a look at webhook situation,,-1
1497,"Research Knowledge Building Serverless computing on heterogeneous computers INFless: a native serverless system for low-latency, high-throughput inference Client-optimized algorithms and acceleration for encrypted compute offloading SOL: safe on-node learning in cloud platforms IOCost: block IO control for containers in datacenters VELTAIR: towards high-performance multi-tenant deep learning services via adaptive compilation and scheduling Breaking the computation and communication abstraction barrier in distributed machine learning workloads",Take a look at webhook situation,,-1
1498,Research Community Exposure,Take a look at webhook situation,,-1
1499,Research cisco reach out to Kris on the cisco meeting first draft of the slides,Take a look at webhook situation,,-1
1500,Research EAR clarity lab research meeting NS2.0 ASPLOS/CAL GAN-GPT standup with Mahendra Personalization Reading verint proposal KF Collab Bi/PolyEncoder Accuracy Efficiency Pathway to Open Source Grant Hitach/AVTN Knowledge Building Community Exposure Group meeting notes cisco,Take a look at webhook situation,,-1
1501,Umich clear emails MPACE,Take a look at webhook situation,,-1
1502,House Planning Doc clean and tidy up around the house change battery in senor send cancelling email to Proof organize garage fix dangling wire behind TV automate everything plant new aero garden buy and assemble dresser Patch the drywall holes in closet organize basement,Take a look at webhook situation,,-1
1503,Green Card I-485 Final filling todo,Take a look at webhook situation,,-1
1504,Green Card I-485,Take a look at webhook situation,,-1
1505,Myca Myca Product Myca standup prepare for LL weekly,Take a look at webhook situation,,-1
1506,Myca Myca Dev wiki set up instructions track and record where user is logging in from latency reduction of the jac implementaiton think about how to do AI improvement potential performance slowdown overtime due to redis caching?,Take a look at webhook situation,,-1
1507,Myca Commands LL weekly Myca Product Myca Dev Myca Working Diary Plan out jac rewrite Myca Q1 Goals set up weekly user usage tracking Myca Jac code review look into wall bug review certify day walker/wiki Fix myca dev server fix Lingjia bug,Take a look at webhook situation,,-1
1508,Jaseci open source update jaseci-serv actions,Expand jskit documentation with function level description of the engine's  capability,,-1
1509,Jaseci Bi-encoder think about how to use it for Myca plan how to clean up myca dataset,Expand jskit documentation with function level description of the engine's  capability,,-1
1510,Jaseci JPS,Expand jskit documentation with function level description of the engine's  capability,,-1
1511,Jaseci HLP Dev notes clean up hlp jac code work through HLP delivery flow,Expand jskit documentation with function level description of the engine's  capability,,-1
1512,Jaseci commands and resource v75 progress Jaseci Master Plan open source Bi-encoder JPS HLP set everything up as microservice connect to jaseci main pod get biencoder classifier to work well set up demo scripts Understand the spacy capabilities,Expand jskit documentation with function level description of the engine's  capability,,-1
1513,Financial ask about HOA fee breakdown retirement account portfolio figure out credit score situation figure out retirement account transfer details start doing monthly budgeting old bank account timecard go to BOA,Expand jskit documentation with function level description of the engine's  capability,,-1
1514,ME Get in shape weight workout Go to bed on time Wake up on time Breakfast,Expand jskit documentation with function level description of the engine's  capability,,-1
1515,ME Relationship facetime with parents special dinner with JaLi,Expand jskit documentation with function level description of the engine's  capability,,-1
1516,ME Health,Expand jskit documentation with function level description of the engine's  capability,,-1
1517,ME interests group find more volunteering opportunities,Expand jskit documentation with function level description of the engine's  capability,,-1
1518,ME Get in shape Relationship Health learn keyboard for 30 min interests group,Expand jskit documentation with function level description of the engine's  capability,,-1
1519,Chores bring trash cart back in laundry grocery get mails take out trash install video doorbell go pick up sunglasses,Expand jskit documentation with function level description of the engine's  capability,,-1
1520,Research EAR email https://mail.google.com/mail/u/1/#search/cacf%40umich.edu/FMfcgzGmthkHgzJRvvBxNjkPTsKcqJGd,Expand jskit documentation with function level description of the engine's  capability,,-1
1521,Research NS2.0 notes,Expand jskit documentation with function level description of the engine's  capability,,-1
1522,Research ASPLOS/CAL Jaseci Research Daily notes aws cluster access lit search,Expand jskit documentation with function level description of the engine's  capability,,-1
1523,Research GAN-GPT read GPT read Electra,Expand jskit documentation with function level description of the engine's  capability,,-1
1524,Research Personalization notes Coordinate who's writing what take a look at the jpmc proposal read more on recommendation system  user embedding approach Nag Kris on doing a pass on intro,Expand jskit documentation with function level description of the engine's  capability,,-1
1525,Research Reading MLsys seminar,Expand jskit documentation with function level description of the engine's  capability,,-1
1526,Research verint proposal Proposal,Expand jskit documentation with function level description of the engine's  capability,,-1
1527,Research KF Collab Ideas Kris avatar idea  Emotional tone Accuracy Efficiency Read wisc paper,Expand jskit documentation with function level description of the engine's  capability,,-1
1528,Research Bi/PolyEncoder,Expand jskit documentation with function level description of the engine's  capability,,-1
1529,Research Accuracy Efficiency slide deck Can we make the model analyze infrastructure part of Jaseci?,Expand jskit documentation with function level description of the engine's  capability,,-1
1530,Research Pathway to Open Source Grant notes follow up with one pager exec summary,Expand jskit documentation with function level description of the engine's  capability,,-1
1531,Research Hitach/AVTN VILD Repo Notes,Expand jskit documentation with function level description of the engine's  capability,,-1
1532,"Research Knowledge Building Serverless computing on heterogeneous computers INFless: a native serverless system for low-latency, high-throughput inference Client-optimized algorithms and acceleration for encrypted compute offloading SOL: safe on-node learning in cloud platforms IOCost: block IO control for containers in datacenters VELTAIR: towards high-performance multi-tenant deep learning services via adaptive compilation and scheduling Breaking the computation and communication abstraction barrier in distributed machine learning workloads",Expand jskit documentation with function level description of the engine's  capability,,-1
1533,Research Community Exposure,Expand jskit documentation with function level description of the engine's  capability,,-1
1534,Research cisco reach out to Kris on the cisco meeting first draft of the slides,Expand jskit documentation with function level description of the engine's  capability,,-1
1535,Research EAR clarity lab research meeting NS2.0 ASPLOS/CAL GAN-GPT standup with Mahendra Personalization Reading verint proposal KF Collab Bi/PolyEncoder Accuracy Efficiency Pathway to Open Source Grant Hitach/AVTN Knowledge Building Community Exposure Group meeting notes cisco,Expand jskit documentation with function level description of the engine's  capability,,-1
1536,Umich clear emails MPACE,Expand jskit documentation with function level description of the engine's  capability,,-1
1537,House Planning Doc clean and tidy up around the house change battery in senor send cancelling email to Proof organize garage fix dangling wire behind TV automate everything plant new aero garden buy and assemble dresser Patch the drywall holes in closet organize basement,Expand jskit documentation with function level description of the engine's  capability,,-1
1538,Green Card I-485 Final filling todo,Expand jskit documentation with function level description of the engine's  capability,,-1
1539,Green Card I-485,Expand jskit documentation with function level description of the engine's  capability,,-1
1540,Myca Myca Product Myca standup prepare for LL weekly,Expand jskit documentation with function level description of the engine's  capability,,-1
1541,Myca Myca Dev wiki set up instructions track and record where user is logging in from latency reduction of the jac implementaiton think about how to do AI improvement potential performance slowdown overtime due to redis caching?,Expand jskit documentation with function level description of the engine's  capability,,-1
1542,Myca Commands LL weekly Myca Product Myca Dev Myca Working Diary Plan out jac rewrite Myca Q1 Goals set up weekly user usage tracking Myca Jac code review look into wall bug review certify day walker/wiki Fix myca dev server fix Lingjia bug,Expand jskit documentation with function level description of the engine's  capability,,-1
1543,Jaseci open source update jaseci-serv actions,Reply to IV request,,-1
1544,Jaseci Bi-encoder think about how to use it for Myca plan how to clean up myca dataset,Reply to IV request,,-1
1545,Jaseci JPS,Reply to IV request,,-1
1546,Jaseci HLP Dev notes clean up hlp jac code work through HLP delivery flow,Reply to IV request,,-1
1547,Jaseci commands and resource v75 progress Jaseci Master Plan open source Bi-encoder JPS HLP set everything up as microservice connect to jaseci main pod get biencoder classifier to work well set up demo scripts Understand the spacy capabilities,Reply to IV request,,-1
1548,Financial ask about HOA fee breakdown retirement account portfolio figure out credit score situation figure out retirement account transfer details start doing monthly budgeting old bank account timecard go to BOA,Reply to IV request,,-1
1549,ME Get in shape weight workout Go to bed on time Wake up on time Breakfast,Reply to IV request,,-1
1550,ME Relationship facetime with parents special dinner with JaLi,Reply to IV request,,-1
1551,ME Health,Reply to IV request,,-1
1552,ME interests group find more volunteering opportunities,Reply to IV request,,-1
